LC-IMPACT_Name,Formula,Radiative Forcing 100(W m-2 yr kg-1),Temperature increase (C/kg),US_EPA_Name
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",CF3(CF2)4CH2CH2OH,3.91E-14,3.91E-14,-
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",CF3(CF2)6CH2CH2OH,3.00E-14,3.00E-14,-
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",CF3(CF2)8CH2CH2OH,1.72E-14,1.72E-14,-
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",CH3OCF2CHFCl,1.12E-11,1.12E-11,-
PFPMIE(perfluoropolymethylisopropyl ether),CF3OCF(CF3)CF2OCF2OCF3,8.90E-10,8.90E-10,-
HFE-216,CF3OCF=CF2,1.92E-14,1.92E-14,-
Trifluoromethylformate,HCOOCF3,5.39E-11,5.39E-11,-
Perfluoroethylformate,HCOOCF2CF3,5.32E-11,5.32E-11,-
Perfluoropropylformate,HCOOCF2CF2CF3,3.45E-11,3.45E-11,-
Perfluorobutylformate,HCOOCF2CF2CF2CF3,3.59E-11,3.59E-11,-
"2,2,2-Trifluoroethylformate",HCOOCH2CF3,3.07E-12,3.07E-12,-
"3,3,3-Trifluoropropylformate",HCOOCH2CH2CF3,1.60E-12,1.60E-12,-
"1,2,2,2-Tetrafluoroethylformate",HCOOCHFCF3,4.31E-11,4.31E-11,-
"1,1,1,3,3,3-Hexafluoropropan-2-ylformate",HCOOCH(CF3)2,3.05E-11,3.05E-11,-
Perfluorobutylacetate,CH3COOCF2CF2CF2CF3,1.52E-13,1.52E-13,-
Perfluoropropylacetate,CH3COOCF2CF2CF3,1.59E-13,1.59E-13,-
Perfluoroethylacetate,CH3COOCF2CF3,1.89E-13,1.89E-13,-
Trifluoromethylacetate,CH3COOCF3,1.90E-13,1.90E-13,-
Methylcarbonofluoridate,FCOOCH3,8.74E-12,8.74E-12,Methyl chlorocarbonate
"1,1-Difluoroethylcarbonofluoridate",FCOOCF2CH3,2.46E-12,2.46E-12,-
"1,1-Difluoroethyl2,2,2-trifluoroacetate",CF3COOCF2CH3,2.83E-12,2.83E-12,-
"Ethyl 2,2,2-trifluoroacetate",CF3COOCH2CH3,1.26E-13,1.26E-13,-
"2,2,2-Trifluoroethyl2,2,2-trifluoroacetate",CF3COOCH2CF3,6.27E-13,6.27E-13,-
"Methyl 2,2,2-trifluoroacetate",CF3COOCH3,4.80E-12,4.80E-12,-
"Methyl 2,2-difluoroacetate",HCF2COOCH3,3.00E-13,3.00E-13,-
"Difluoromethyl 2,2,2-trifluoroacetate",CF3COOCHF2,2.48E-12,2.48E-12,-
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",C3F7CH2OH,3.10E-12,3.10E-12,-
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",CHF2CHFOCF3,1.14E-10,1.14E-10,-
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",CF3CHFCF2OCH2CH3,2.14E-12,2.14E-12,-
