Bottles for treatment; Recycling of bottles by direct reuse,p37.w.1,C_BOTW,"Bottles for treatment, Recycling of bottles by direct reuse",p37.w.1,C_BOTW
Electricity by coal,p40.11.a,C_POWC,Electricity by coal,p40.11.a,C_POWC
Electricity by gas,p40.11.b,C_POWG,Electricity by gas,p40.11.b,C_POWG
Electricity by nuclear,p40.11.c,C_POWN,Electricity by nuclear,p40.11.c,C_POWN
Electricity by hydro,p40.11.d,C_POWH,Electricity by hydro,p40.11.d,C_POWH
Electricity by wind,p40.11.e,C_POWW,Electricity by wind,p40.11.e,C_POWW
Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP,Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP
Electricity by biomass and waste,p40.11.g,C_POWB,Electricity by biomass and waste,p40.11.g,C_POWB
Electricity by solar photovoltaic,p40.11.h,C_POWS,Electricity by solar photovoltaic,p40.11.h,C_POWS
Electricity by solar thermal,p40.11.i,C_POWE,Electricity by solar thermal,p40.11.i,C_POWE
Electricity by tide; wave; ocean,p40.11.j,C_POWO,"Electricity by tide, wave, ocean",p40.11.j,C_POWO
Electricity by Geothermal,p40.11.k,C_POWM,Electricity by Geothermal,p40.11.k,C_POWM
Electricity nec,p40.11.l,C_POWZ,Electricity nec,p40.11.l,C_POWZ
Transmission services of electricity,p40.12,C_POWT,Transmission services of electricity,p40.12,C_POWT
Distribution and trade services of electricity,p40.13,C_POWD,Distribution and trade services of electricity,p40.13,C_POWD
Coke oven gas,p40.2.a,C_COOG,Biogas an other gases nec.,p40.2.1,C_BGAS
Blast Furnace Gas,p40.2.b,C_MBFG,Biogas an other gases nec.,p40.2.1,C_BGAS
Oxygen Steel Furnace Gas,p40.2.c,C_MOSG,Biogas an other gases nec.,p40.2.1,C_BGAS
Gas Works Gas,p40.2.d,C_MGWG,Biogas an other gases nec.,p40.2.1,C_BGAS
Biogas,p40.2.e,C_MBIO,Biogas an other gases nec.,p40.2.1,C_BGAS
Distribution services of gaseous fuels through mains,p40.2.1,C_GASD,Distribution services of gaseous fuels through mains,p40.2.2,C_GASD
Steam and hot water supply services,p40.3,C_HWAT,Steam and hot water supply services,p40.3,C_HWAT
Collected and purified water; distribution services of water (41),p41,C_WATR,"Collected and purified water, distribution services of water (41)",p41,C_WATR
Construction work (45),p45,C_CONS,Construction work (45),p45,C_CONS
Secondary construction material for treatment; Re-processing of secondary construction material into aggregates,p45.w,C_CONW,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",p45.w,C_CONW
Sale; maintenance; repair of motor vehicles; motor vehicles parts; motorcycles; motor cycles parts and accessoiries,p50.a,C_TDMO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a,C_TDMO
Retail trade services of motor fuel,p50.b,C_TDFU,Retail trade services of motor fuel,p50.b,C_TDFU
Wholesale trade and commission trade services; except of motor vehicles and motorcycles (51),p51,C_TDWH,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51,C_TDWH
Retail  trade services; except of motor vehicles and motorcycles; repair services of personal and household goods (52),p52,C_TDRT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52,C_TDRT
Hotel and restaurant services (55),p55,C_HORE,Hotel and restaurant services (55),p55,C_HORE
Railway transportation services,p60.1,C_TRAI,Railway transportation services,p60.1,C_TRAI
