EXIOBASE 3;;;;US EPA;;;;;;;;;;;;;;;;;;;;;;;
Emission name;Unit ;Compartment;;Flowable;CAS No;Formula;Synonyms;Flow quality;Unit;Directionality;Compartment;External reference;Preferred;Class;Flow UUID;Compartment UUID;Unit UUID;Quality UUID;;;;;;;;;
NMVOC;tonnes;air;;Hexadecane;544-76-3;C16H34;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=45463;1;Chemicals;84310ba9-7d89-3502-bed7-ad2f2c9c7699;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;16;34;1;1
NMVOC;tonnes;air;;3-Methylhexane;589-34-4;C7H16;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=88878;1;Chemicals;e096de73-9f26-32d1-b810-9748e34fa39b;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;3;7;16;1;1
NMVOC;tonnes;air;;Octadecane;593-45-3;C18H38;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=45083;1;Chemicals;c8a4ad63-3a4a-364c-98a8-907587231d0f;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;18;38;1;1
NMVOC;tonnes;air;;Tetradecane;629-59-4;C14H30;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=44586;1;Chemicals;05c8c56b-133f-3f91-bced-35e58a1ffa24;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;14;30;1;1
NMVOC;tonnes;air;;Heptadecane;629-78-7;C17H36;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=89028;1;Chemicals;5c852fc8-9331-3fa0-8e38-f89fe78de2c4;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;17;36;1;1
NMVOC;tonnes;air;;Docosane;629-97-0;C22H46;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=89024;1;Chemicals;92a0b790-5855-39ce-b5ba-f7d1a8b61d93;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;22;46;1;1
NMVOC;tonnes;air;;3-Methylpentane;96-14-0;C6H14;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=48145;1;Chemicals;a67bdddb-ceb9-3195-8794-7755c33d2a76;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;3;6;14;1;1
NMVOC;tonnes;air;;3-Methylnonane;1465084;C10H22;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=100801;1;Chemicals;67491a28-666b-38c2-a7ea-f07d5b41139d;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;10;22;1;1
NMVOC;tonnes;air;;3-Methyldecane;13151-34-3;C11H24;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=100691;1;Chemicals;acc8c32e-d702-3b2e-a1c7-fe4885f1a16f;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;11;24;1;1
NMVOC;tonnes;air;;6-Methyltridecane;13287-21-3;C14H30;;Mass;kg;emission;air;https://comptox.epa.gov/dashboard/dsstoxdb/results?utf8=%E2%9C%93&search=DTXSID7058620;1;Chemicals;8207bf21-acd7-355e-bb22-f6be1b37ed31;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;1;4;14;30;1;1
