SITC4code,SITC4part,CPC2code,CPC2part
334.6,1,33320,0
334.6,1,33330,0
334.6,1,33341,0
334.6,1,33342,0
334.6,1,33350,0
334.6,1,33360,0
334.6,1,33370,0
334.6,1,33380,0
334.7,0,39950,1
335.11,0,33500,1
335.12,0,33500,1
335.21,0,33200,0
335.22,0,34540,1
335.23,0,34540,1
335.24,0,34540,1
335.25,0,34540,1
335.31,0,34540,1
335.32,0,34540,1
335.41,0,33500,1
335.42,0,33500,1
335.43,0,37940,1
342.1,0,33410,1
342.5,0,33410,1
343.1,0,12020,1
343.2,0,12020,1
344.1,0,33420,1
344.2,0,33420,1
344.9,0,33420,1
345,0,17200,0
351,0,17100,0
411.11,0,21524,0
411.12,0,21525,0
411.13,0,21526,0
411.2,1,21521,0
411.2,1,21522,0
411.31,0,21511,0
411.32,1,21512,0
411.32,1,21513,0
411.32,1,21514,0
411.32,1,21515,0
411.32,1,21523,0
411.33,0,21529,1
411.35,1,21519,1
411.35,1,21529,1
411.39,1,21519,1
411.39,1,21529,1
421.11,0,21531,0
421.19,0,21541,0
421.21,0,21538,0
421.29,0,21548,0
421.31,0,21532,0
421.39,0,21542,0
421.41,0,21537,1
421.42,0,21547,1
421.49,1,21537,1
421.49,1,21547,1
421.51,0,21533,0
421.59,0,21543,0
421.61,0,21539,1
421.69,0,21549,1
421.71,0,21534,0
421.79,0,21544,0
421.8,1,21539,1
421.8,1,21549,1
422.11,0,21539,1
422.19,0,21549,1
422.21,0,21535,0
422.29,0,21545,0
422.31,0,21536,0
422.39,0,21546,0
422.41,0,21539,1
422.49,0,21549,1
422.5,1,21539,1
422.5,1,21549,1
422.9,1,21539,1
422.9,1,21549,1
431.1,0,34550,0
431.21,0,21590,1
431.22,0,21590,1
431.3,0,21732,0
431.41,0,21731,0
431.42,0,2960,0
511.11,0,34110,1
511.12,0,34110,1
511.13,0,34110,1
511.14,0,34110,1
511.19,0,34110,1
511.21,0,34110,1
511.22,0,34110,1
511.23,0,34110,1
511.24,0,34110,1
511.25,0,34110,1
511.26,0,34110,1
511.27,0,34110,1
511.29,0,34110,1
511.31,0,34110,1
511.32,0,34110,1
511.33,0,34110,1
511.34,0,34110,1
511.35,0,34110,1
511.36,0,34110,1
511.37,0,34110,1
511.38,0,34110,1
511.39,0,34110,1
511.4,0,34110,1
512.11,0,34139,1
512.12,0,34139,1
512.13,0,34139,1
512.14,0,34139,1
512.15,0,24110,0
512.16,0,34131,0
512.17,0,34139,1
512.18,0,34120,0
512.19,0,34139,1
512.21,0,34139,1
512.22,0,34570,0
512.23,0,34139,1
512.24,0,34139,1
512.25,0,34139,1
512.29,0,34139,1
512.31,0,34139,1
512.35,0,34139,1
512.41,0,34139,1
512.42,0,34139,1
512.43,0,34139,1
512.44,0,34139,1
513.71,0,34140,1
513.72,0,34140,1
513.73,0,34140,1
