ISIC4code,ISIC4part,NACE2code,NACE2part
4669,1,46.76,0
4669,1,46.77,0
469,0,46.9,0
4690,0,46.9,0
47,0,47,0
471,0,47.1,0
4711,0,47.11,0
4719,0,47.19,0
472,0,47.2,0
4721,1,47.21,0
4721,1,47.22,0
4721,1,47.23,0
4721,1,47.24,0
4722,0,47.25,0
4723,0,47.26,0
4721,1,47.29,0
473,0,47.3,0
4730,0,47.3,0
474,0,47.4,0
4741,1,47.41,0
4741,1,47.42,0
4742,0,47.43,0
475,0,47.5,0
4751,0,47.51,0
4752,0,47.52,0
4753,0,47.53,0
4759,1,47.54,0
4759,1,47.59,0
476,0,47.6,0
4761,1,47.61,0
4761,1,47.62,0
4762,0,47.63,0
4763,0,47.64,0
4764,0,47.65,0
477,0,47.7,0
4771,1,47.71,0
4771,1,47.72,0
4772,1,47.73,0
4772,1,47.74,0
4772,1,47.75,0
4773,1,47.76,0
4773,1,47.77,0
4773,1,47.78,0
4774,0,47.79,0
478,0,47.8,0
4781,0,47.81,0
4782,0,47.82,0
4789,0,47.89,0
479,0,47.9,0
4791,0,47.91,0
4799,0,47.99,0
H,0,H,0
49,0,49,0
491,1,49.1,0
4911,0,49.1,0
491,1,49.2,0
4912,0,49.2,0
492,1,49.3,0
4921,0,49.31,0
4922,1,49.32,0
4922,1,49.39,0
492,1,49.4,0
4923,1,49.41,0
4923,1,49.42,0
493,0,49.5,0
4930,0,49.5,0
50,0,50,0
501,1,50.1,0
5011,0,50.1,0
501,1,50.2,0
5012,0,50.2,0
502,1,50.3,0
5021,0,50.3,0
502,1,50.4,0
5022,0,50.4,0
51,0,51,0
511,0,51.1,0
5110,0,51.1,0
512,0,51.2,0
5120,1,51.21,0
5120,1,51.22,0
52,0,52,0
521,0,52.1,0
5210,0,52.1,0
522,0,52.2,0
5221,0,52.21,0
5222,0,52.22,0
5223,0,52.23,0
5224,0,52.24,0
5229,0,52.29,0
53,0,53,0
531,0,53.1,0
5310,0,53.1,0
532,0,53.2,0
5320,0,53.2,0
I,0,I,0
55,0,55,0
551,1,55.1,0
5510,1,55.1,0
551,1,55.2,0
5510,1,55.2,0
552,0,55.3,0
5520,0,55.3,0
